time;ZZ_med;ZZ_sigma;ZZ_pts;RR_med;RR_sigma;RR_pts;TT_med;TT_sigma;TT_pts
2010-11-28;-0.0159331877618;-0.03800635855;104;-0.0303536265616;-0.0350863310349;118;-0.00665824080462;-0.0335049443038;118
2010-11-29;-0.0135092808762;-0.0401158854749;104;-0.0323362359002;-0.0283673568988;118;-0.00767476786543;-0.0369520474243;118
2010-11-30;-0.00630712787353;-0.044283249964;104;-0.0320797196812;-0.0305610594735;118;-0.00864028642893;-0.0391406933376;118
2010-12-01;-0.0164291591284;-0.0419051912074;104;-0.0323938894277;-0.0350099420845;118;-0.0105570223132;-0.0358942795488;118
2010-12-02;-0.0188284008344;-0.0441970859702;104;-0.0257211387706;-0.0331043039403;118;-0.00991990486507;-0.0336488667555;118
2010-12-03;-0.0160662400234;-0.0351800859667;104;-0.0338329390509;-0.035026245511;118;-0.00903601588406;-0.0331066469421;118
2010-12-04;-0.0176716454385;-0.0373447163685;104;-0.0397767879782;-0.0380717139057;118;-0.00642814314802;-0.0375175862485;118
2010-12-05;-0.0174550758159;-0.040699899743;104;-0.0361970031727;-0.0380289210445;118;-0.0120622203078;-0.0434873033791;118
2010-12-06;-0.0214819315946;-0.0385635191694;104;-0.0364925859099;-0.0333343073342;118;-0.010214696607;-0.0439691405516;118
2010-12-07;-0.0293339027275;-0.0408361059151;104;-0.0397349313549;-0.032166893769;118;-0.0174440629824;-0.0418605666773;118
2010-12-08;-0.0144216666253;-0.0334299564885;104;-0.043798193282;-0.0335393410396;118;-0.0137730520306;-0.0365958737803;118
2010-12-09;-0.0187706850287;-0.0355316301021;104;-0.0365944781736;-0.0352269074656;118;-0.0113485099104;-0.0417228535801;118
2010-12-10;-0.00924118959503;-0.0375052058961;104;-0.0406311097855;-0.0401255010896;118;-0.0124083615329;-0.0358457024406;118
2010-12-11;-0.0156949593646;-0.032085287577;104;-0.0405149314848;-0.0398780943092;118;-0.0121571193725;-0.0325452164278;118
2010-12-12;-0.0106084524286;-0.0366530793284;104;-0.0446699144138;-0.0402567092046;118;-0.00928331424152;-0.0354537191487;118
2010-12-13;-0.0105071512546;-0.0396404307014;104;-0.046588906242;-0.0376918646973;118;-0.00788251245434;-0.0352422257445;118
2010-12-14;-0.0135653909754;-0.0372592265378;104;-0.0425310891316;-0.0387529050243;118;-0.00882490157826;-0.0371470892682;118
2010-12-15;-0.00656262566484;-0.0363475837725;104;-0.0430743962192;-0.0393174305888;118;-0.0111491389538;-0.0351190132233;118
2010-12-16;-0.0124870291761;-0.0378745896782;104;-0.0349328477419;-0.0422911413742;118;-0.0113200799197;-0.0361260276304;118
2010-12-17;-0.0156968646004;-0.0416774788817;104;-0.0350250246932;-0.0369128590155;118;-0.0122815115101;-0.0376107213623;118
2010-12-18;-0.0211662120484;-0.0376689898562;104;-0.0373928148117;-0.035983458851;118;-0.0118005289705;-0.0388323562957;118
